Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","169","Paraguay","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","65","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","150","Pays-Bas","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","289","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","170","Pérou","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1523","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","171","Philippines","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1322","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","173","Pologne","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1327","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","70","Polynésie française","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","15","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","174","Portugal","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","325","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","37","République centrafricaine","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","5","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","117","République de Corée","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","853","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","146","République de Moldova","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","65","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","120","République démocratique populaire lao","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","40","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","56","République dominicaine","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","374","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","116","République populaire démocratique de Corée","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","42","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","215","République-Unie de Tanzanie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","68","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","183","Roumanie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","455","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","229","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2275","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","184","Rwanda","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","16","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","189","Sainte-Lucie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","11","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","188","Saint-Kitts-et-Nevis","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","4","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","191","Saint-Vincent-et-les Grenadines","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","9","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","244","Samoa","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","15","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","193","Sao Tomé-et-Principe","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2","S","Données standardisées"
