Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","141","Mongolie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","4036.919527","Fc","Donnée calculée",""
"MK","Indicateurs macro","273","Monténégro","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","7762.767462","Fc","Donnée calculée",""
"MK","Indicateurs macro","142","Montserrat","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","12071.915588","Fc","Donnée calculée",""
"MK","Indicateurs macro","144","Mozambique","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","519.093603","Fc","Donnée calculée",""
"MK","Indicateurs macro","28","Myanmar","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","1247.408501","Fc","Donnée calculée",""
"MK","Indicateurs macro","147","Namibie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","5854.837473","Fc","Donnée calculée",""
"MK","Indicateurs macro","148","Nauru","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","16332.512127","Fc","Donnée calculée",""
"MK","Indicateurs macro","149","Népal","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","741.06071","Fc","Donnée calculée",""
"MK","Indicateurs macro","157","Nicaragua","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","2016.315354","Fc","Donnée calculée",""
"MK","Indicateurs macro","158","Niger","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","395.937224","Fc","Donnée calculée",""
"MK","Indicateurs macro","159","Nigéria","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","2412.409598","Fc","Donnée calculée",""
"MK","Indicateurs macro","162","Norvège","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","90961.547973","Fc","Donnée calculée",""
"MK","Indicateurs macro","153","Nouvelle-Calédonie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","41476.396","Fc","Donnée calculée",""
"MK","Indicateurs macro","156","Nouvelle-Zélande","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","38565.36232","Fc","Donnée calculée",""
"MK","Indicateurs macro","221","Oman","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","15977.205555","Fc","Donnée calculée",""
"MK","Indicateurs macro","226","Ouganda","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","625.538583","Fc","Donnée calculée",""
"MK","Indicateurs macro","235","Ouzbékistan","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","2039.850719","Fc","Donnée calculée",""
"MK","Indicateurs macro","165","Pakistan","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","1201.670262","Fc","Donnée calculée",""
"MK","Indicateurs macro","180","Palaos","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","9983.239505","Fc","Donnée calculée",""
"MK","Indicateurs macro","299","Palestine","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","2466.453199","Fc","Donnée calculée",""
"MK","Indicateurs macro","166","Panama","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","11513.277687","Fc","Donnée calculée",""
"MK","Indicateurs macro","168","Papouasie-Nouvelle-Guinée","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","2226.772131","Fc","Donnée calculée",""
"MK","Indicateurs macro","169","Paraguay","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","4045.252596","Fc","Donnée calculée",""
"MK","Indicateurs macro","150","Pays-Bas","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","54557.847961","Fc","Donnée calculée",""
"MK","Indicateurs macro","170","Pérou","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","6172.638967","Fc","Donnée calculée",""
"MK","Indicateurs macro","171","Philippines","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","2891.361186","Fc","Donnée calculée",""
"MK","Indicateurs macro","173","Pologne","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","15743.915267","Fc","Donnée calculée",""
